,sex,rating,product,review,review_date,reviewer_id,clean_text
10,f,5.0,service,Hizmet güzel,2017-01-06,93924,hizmet guzel
11,f,5.0,service,"Biyometrik fotoğrafı düzgün çekiyorlar, ertesi gün teslim alıyorsunuz",2017-09-08,51489,biyometrik fotograf duzgun cekiyorlar ertesi gun teslim alyorsunuz
12,m,5.0,service,Çok iyi fotoğrafçı,2017-03-13,58007,cok iyi fotografc
13,f,5.0,facility,Hoş bir yer,2017-03-19,40377,ho bir yer
14,f,5.0,service,Profesyonelce işlerini yaptıkları icin,2017-09-15,92151,profesyonelce islerini yaptklar icin
16,f,5.0,service,"Profesyonel çalışıyorlar, resimleri de söz verdikleri vakitte teslim ediyorlar. Tavsiye ederim",2017-05-31,106792,profesyonel calsyorlar resimleri soz verdikleri vakitte teslim ediyorlar tavsiye ederim
17,f,5.0,service,süper bir yer,2017-06-04,118541,super bir yer
18,m,3.0,service,"Fotoğraf kalitesi beni oldukça memnun etti. Biz toplu fotoğraf çekimine gitmiştik. Fazla kişi olduğumuz icin randevumuzun arasına avukat, doktor vb kisiler girince bu beni biraz olumsuz etkiledi. Bireysel çekime gidiyorsaniz bir problem yaşamazsiniz",2017-06-28,23237,fotograf kalitesi beni oldukca memnun etti toplu fotograf cekimine gitmistik fazla kisi oldugumuz icin randevumuzun arasna avukat doktor vb kisiler girince beni biraz olumsuz etkiledi bireysel cekime gidiyorsaniz bir problem yasamazsiniz
19,f,5.0,service,Yıllardır değişmeyen hizmet kalitesi,2017-09-19,42532,yllardr degismeyen hizmet kalitesi
20,m,5.0,service,Her konuda yardımcı oluyorlar ve ilgililer Fotoğrafçılığımı geliştirmemde katkıları büyük tavsiye ederim fotoğraf merakı olan arkadaşlara,2017-05-22,118871,konuda yardmc oluyorlar ilgililer fotografclgm gelistirmemde katklar buyuk tavsiye ederim fotograf merak olan arkadaslara
22,m,5.0,service,"Fotoğraf demek burası demek, burası demek fotoğraf demek.İşlerini gerçekten profosyenel yapıyorlar",2017-03-26,31089,fotograf demek bura demek bura demek fotograf demek islerini gercekten profosyenel yapyorlar
23,m,5.0,service,Hizmet gayet güzel,2017-11-29,57076,hizmet gayet guzel
24,f,5.0,service,Bu kadar yıldır hizmet sektöründe çalışıyorum böyle profesyonel hizmet görmedim,2017-02-20,97799,kadar yldr hizmet sektorunde calsyorum boyle profesyonel hizmet gormedim
25,f,5.0,service,Fotoğraf baski hizmetleri film bana tarama sergi fotoğrafları baskısı diğer hersey,2017-12-11,37600,fotograf baski hizmetleri film bana tarama sergi fotograflar basks diger hersey
26,f,5.0,service,"Bir makine almıştım, hatası vardı, hemen değiştirdiler, müşteri hizmetinde çok ileriler",2017-03-11,37384,bir makine almstm hatas vard hemen degistirdiler musteri hizmetinde cok ileriler
27,f,5.0,service,"İlgisiz ve gittiğim en kötü fotoğrafçı. Acil biometrik fotoğraf lazımdı mecburiyetten girdim.Fotoğrafı çeken eleman daha girer girmez olumsuz davranmaya başladı. Merhaba diyorum karşılık alamıyorum, donuk donuk bakıyor yüzüme. Fotoğraf çekilecek alanı gösterirken ""geç şöyle, burada çekilecek"" diyor. Müşteriyle böyle mi konuşulur. Ben kadrajı göremiyorum güvenip oturuyoruz oraya. Fotoğrafta rujum taşmış kötü bir görüntü ama kendisi beni uyarmadı bile. Durumun farkında değilim. Hangi fotoğrafı basacağını bile göstermiyor. Ve o fotoğrafı bastı. Sonradan farkettim ama kullanmak zorundaydım. Hiç profesyonel değiller, kesinlikle tavsiye etmiyorum.",2017-06-02,50062,ilgisiz gittigim kotu fotografc acil biometrik fotograf lazmd mecburiyetten girdim fotograf ceken eleman girer girmez olumsuz davranmaya baslad merhaba diyorum karslk alamyorum donuk donuk bakyor yuzume fotograf cekilecek alan gosterirken `` gec soyle burada cekilecek diyor musteriyle boyle mi konusulur ben kadraj goremiyorum guvenip oturuyoruz oraya fotografta rujum tasms kotu bir goruntu kendisi beni uyarmad bile durumun farknda degilim hangi fotograf basacagn bile gostermiyor fotograf bast sonradan farkettim kullanmak zorundaydm hic profesyonel degiller kesinlikle tavsiye etmiyorum
28,m,5.0,passport,Vesikalık çekimleri ve müşteri ile olan ilişkileri çok iyiydi,2017-09-15,114582,vesikalk cekimleri musteri olan iliskileri cok iyiydi
29,m,5.0,service,Beni çeken abi çok eğlenceliydi hiç sıkılmadım o beni çekerken bundan sonra kesinlikle oraya gidicem,2017-05-26,50934,beni ceken abi cok eglenceliydi hic sklmadm beni cekerken bundan sonra kesinlikle oraya gidicem
30,m,5.0,service,"Kalitede öncü, yenilikçi tasarımlar.",2017-04-14,107091,kalitede oncu yenilikci tasarmlar
31,m,5.0,service,Diapozitif filmden dijital tarama baskı... Çözüm ortağım,2017-05-21,42506,diapozitif filmden dijital tarama bask cozum ortagm
32,m,5.0,service,İşini en güzel sekilde yapan bi adrese yolumuz düştü.iyi ki de düşmüş.en güzel anlarımızı en güzel karelere resmeden bir fotomuz oldu.En güzel sekilde tavsiye edilir...,2017-03-21,71997,isini guzel sekilde yapan bi adrese yolumuz dustu iyi dusmus guzel anlarmz guzel karelere resmeden bir fotomuz oldu guzel sekilde tavsiye edilir
33,m,5.0,service,Mükemmel,2017-10-25,110066,mukemmel
34,f,3.0,service,Sıradan bir fotoğrafçı,2017-10-19,67670,sradan bir fotografc
35,m,2.0,service,"Çömezlik hat boyu, napolyon ne demiş ""Para,para,para"",işte böyle bir yer.Fotografçi arkadaşlar kendini 'Erol ATAR ""gibi hissedilen yer",2017-05-24,110800,comezlik hat boyu napolyon demis `` para para para iste boyle bir yer fotografci arkadaslar kendini erol atar `` hissedilen yer
36,m,5.0,passport,Biyometrik fotoğrafımı 5 dakika gibi kısa bir sürede verdiler. Çok hızlı hizmet!,2017-06-16,52423,biyometrik fotografm dakika ksa bir surede verdiler cok hzl hizmet
37,m,5.0,art,Çekimler süper,2017-01-19,89199,cekimler super
38,m,5.0,service,Her şeyi ile mükemmel,2017-12-19,30095,seyi mukemmel
39,m,5.0,service,"Saat gibi işleyen bir düzen var, tebrikler",2017-01-13,42475,saat isleyen bir duzen var tebrikler
40,m,5.0,facility,Merkezi yerde,2017-10-04,123128,merkezi yerde
41,m,5.0,wedding,düğün fotoğraflarımızı çekti çok memnun kaldık fotoğraflarımıza hala büyük bir zevkle bakıyoruz,2017-06-30,119870,dugun fotograflarmz cekti cok memnun kaldk fotograflarmza hala buyuk bir zevkle bakyoruz
42,m,5.0,service,Her zaman gittiğim ve sıkıntı yaşamadığım bir yer.Teşekkür ederiz,2017-08-24,82859,zaman gittigim sknt yasamadgm bir yer tesekkur ederiz
43,m,5.0,service,"Çok teşekkür ederim Gülşah Hanım. Övgülerinizle beni çok mutlu ettiniz. Sizinle çalışmak da büyük keyifti benim için. Fotoğraflarınız ve albümünüz size hep o ilk günkü heyecanınızı, aşkınızı hatırlatsın :)",2017-09-27,50332,cok tesekkur ederim gulsah hanm ovgulerinizle beni cok mutlu ettiniz sizinle calsmak buyuk keyifti benim icin fotograflarnz albumunuz size ilk gunku heyecannz asknz hatrlatsn
45,f,5.0,service,"Her derde deva, tüm fotoğraf, baskı işlerimizi itinayla yapıp, her zaman yardımcı olmaya çalışan güler yüzlü personeliyle yanımızda olan fotoğraf sanat merkezi... Evliliğim,bebişimin ilk fotoğrafları, mezuniyetler.... haaa bu arada taaa eskiden kalma yırtık pırtık fotolarımıza da tekrar hayat verdiğiniz için teşekkürler...",2017-07-02,30573,derde deva tum fotograf bask islerimizi itinayla yapp zaman yardmc olmaya calsan guler yuzlu personeliyle yanmzda olan fotograf sanat merkezi evliligim bebisimin ilk fotograflar mezuniyetler haaa arada taaa eskiden kalma yrtk prtk fotolarmza tekrar hayat verdiginiz icin tesekkurler
46,m,5.0,service,Müşterilerine karşı çok nazik ve kibarlar,2017-08-20,58103,musterilerine kars cok nazik kibarlar
47,m,1.0,service,Kalitesini bozduğunu düşünüyorum düğün mekanı zorunlu olduğu için çalıştık tavsiye etmiyorum :(,2017-06-29,89998,kalitesini bozdugunu dusunuyorum dugun mekan zorunlu oldugu icin calstk tavsiye etmiyorum
49,f,3.0,service,"İhtiyacınızı görür,normal bir fotoğrafçı.",2017-03-29,85375,ihtiyacnz gorur normal bir fotografc
50,m,5.0,service,Çok iyiler..başka söze gerek yok,2017-06-28,94035,cok iyiler baska soze gerek yok
51,m,5.0,service,Fotoğraf çekiminin 1 numaralı mekanı gerçekten... geçmişe yolculuk yapabilirsiniz,2017-10-14,109717,fotograf cekiminin numaral mekan gercekten gecmise yolculuk yapabilirsiniz
52,f,5.0,service,Semtimizin nadide emektarlarından abimizin sağlam tecrübeleri ile zorlu istekleriniz kolaylıkla hallediliyor,2017-06-18,49193,semtimizin nadide emektarlarndan abimizin saglam tecrubeleri zorlu istekleriniz kolaylkla hallediliyor
53,f,5.0,wedding,kusursuz hizmet veren harika bir işletme özellikle işletme sahibinin cana yakınlığı ve yaptığı işi kusursuz bir şekilde yapması harika hersey için tesekkürler,2017-05-14,111374,kusursuz hizmet veren harika bir isletme ozellikle isletme sahibinin cana yaknlg yaptg isi kusursuz bir sekilde yapmas harika hersey icin tesekkurler
55,m,5.0,service,Ailenizin fotoğrafçısı...,2017-05-10,110366,ailenizin fotografcs
56,m,5.0,service,Sanat fotoğrafçısı. Sitesini ziyaret edin,2017-10-20,109136,sanat fotografcs sitesini ziyaret edin
57,f,1.0,passport,"Kesinlikle Tavsiye Etmiyorum.Pasaport Fotoğrafı Diyerek Ebatları Hiç Uyuşmayan Bir Fotoğraf Verdiler Bunlar Pasaport Fotoğrafı Değil Diyerek Geri Götürdüm Üstüne Yenisi İçin Para Talep Ettiler. Para Almalarının Dışından Ön Büroda Çalışan Bayanın Uslubu Ve Kesinlikle Müşteriye Olan Yaklaşımı İşletme Ünvanına Yakışmayacak Derecedeydi. İş Yeri Sahibi Tartışma Esnasında Olaya Dahil Oldu Çözüm Getirmesi Gereken Yerde Çirkin Bir Tavırla Hayal Kırıklığı Yarattı. Kimseye Tavsiye Etmem, Ucuz Bir Yerde Olmadığı İçin Paranızla Kötü Olmayın. Daha Kurumsal Yerlere Gidin Arkadaşlar.",2017-01-16,46693,kesinlikle tavsiye etmiyorum pasaport fotograf diyerek ebatlar hic uyusmayan bir fotograf verdiler bunlar pasaport fotograf degil diyerek geri goturdum ustune yenisi icin para talep ettiler para almalarnn dsndan on buroda calsan bayann uslubu kesinlikle musteriye olan yaklasm isletme unvanna yaksmayacak derecedeydi is yeri sahibi tartsma esnasnda olaya dahil oldu cozum getirmesi gereken yerde cirkin bir tavrla hayal krklg yaratt kimseye tavsiye etmem ucuz bir yerde olmadg icin paranzla kotu olmayn kurumsal yerlere gidin arkadaslar
58,f,5.0,service,Nerdeyse 4 saat ugrasan ve bir saheser cikaran abi bu cevredeki en iyi fotografcidir. Kendisini bu isler icin tavsiye ediyorum.,2017-04-10,63062,nerdeyse saat ugrasan bir saheser cikaran abi cevredeki iyi fotografcidir kendisini isler icin tavsiye ediyorum
59,f,1.0,service,Dijital çıkmış mertlik bozulmuş. Kadrajdaki kağıt bardağı photoshopta sileriz nasılsa diye umursamayan fotoğrafçı.,2017-07-23,60194,dijital ckms mertlik bozulmus kadrajdaki kagt bardag photoshopta sileriz naslsa umursamayan fotografc
60,m,5.0,service,"orijinal , güzel ortam ve fotoğrafçılık",2017-10-13,91529,orijinal guzel ortam fotografclk
61,m,5.0,service,"Sıcak bir şeyler var bu dükkanda, seviyorum ben",2017-02-26,62411,scak bir seyler var dukkanda seviyorum ben
62,m,5.0,service,Güzel Fotoğraf çekiyolar,2017-03-19,94459,guzel fotograf cekiyolar
63,m,3.0,service,"Yapılan işten memnun kalmamıştım ama satış sonrası hizmetten çok etkilendim, hatayı telafi ediyorlar",2017-03-05,73285,yaplan isten memnun kalmamstm sat sonras hizmetten cok etkilendim hatay telafi ediyorlar
64,f,1.0,service,"İyi demişlerdi ben beğenmedim, tezgahtar çok soğuktu",2017-02-02,83462,iyi demislerdi ben begenmedim tezgahtar cok soguktu
65,m,1.0,price,Pahalı bir yer. Adı var ama kesinlikle değmez. Ankara'daki özel okulları bağlamışlar. E tabi konu çocuk olduğu için de millet hayır diyemiyor.,2017-07-29,95513,pahal bir yer ad var kesinlikle degmez ankaradaki ozel okullar baglamslar e tabi konu cocuk oldugu icin millet hayr diyemiyor
66,m,2.0,price,Fiyatlar biraz pahalı,2017-01-23,65254,fiyatlar biraz pahal
67,m,1.0,service,Ilgisiz ve hitap konusunda seviye sorunu yasayan calisanlari insani irite ediyor.Siz diye bir hitap yok.Donuk bakisli karsilamadan sonra fotograf cekimi icin ne yapacaginizi anlamak icin ugrasiyorsunuz.Sonra cekimde sen diye hitap eden ve gereksiz espriler yapan kisi ayni gevsek cekimi bitiriyor.Bir an once isimi bitirip cikmak istedim.kimseye oneremiyorum,2017-05-20,57449,ilgisiz hitap konusunda seviye sorunu yasayan calisanlari insani irite ediyor bir hitap yok donuk bakisli karsilamadan sonra fotograf cekimi icin yapacaginizi anlamak icin ugrasiyorsunuz sonra cekimde sen hitap eden gereksiz espriler yapan kisi ayni gevsek cekimi bitiriyor bir an once isimi bitirip cikmak istedim kimseye oneremiyorum
68,f,5.0,service,Çok güzel ve hızlı güler yüzlü basarili,2017-04-25,66441,cok guzel hzl guler yuzlu basarili
70,f,5.0,service,"Çok güzel fonlar kullanıyorlar, teşekkürler",2017-01-31,75706,cok guzel fonlar kullanyorlar tesekkurler
71,m,5.0,passport,"Acele bir işim vardı, hemen fotoğrafımı çekip elime verdiler, on numara",2017-02-13,49010,acele bir isim vard hemen fotografm cekip elime verdiler on numara
72,m,5.0,service,Gayet hızlı ve güleryüzlü halloldu işlemlerimiz tesekkurler,2017-04-27,93971,gayet hzl guleryuzlu halloldu islemlerimiz tesekkurler
73,m,1.0,price,Gereksiz pahalı,2017-07-31,88700,gereksiz pahal
74,m,5.0,studio,foto üzerine aradığım herşeyi pazarlık yaparak alabilmek her dükkanda güler yüzle karşılanmak bu yeri güzel yapıyor.,2017-12-29,99200,foto uzerine aradgm herseyi pazarlk yaparak alabilmek dukkanda guler yuzle karslanmak yeri guzel yapyor
75,f,1.0,passport,"Biometrik fotoda hatali cekim oldugundan dolayi tekrar cekmemiz gerek bir saat icinde teslim ederiz dendi.15.00'da yapilan cekim ise 18.00'da teslim ediliyor. Niye bu kadar uzun suruyor? Madem foto tesliminden once kapora aliniyor, niye musterilerin telefon numarasi da alinmiyor? Boyle bir sikinti gundeme geldiginde musteriler aranmali. Cunku vize icin cekilen fotolar hasas ve kisitli surede teslim edilmesi gerekiyor. 50 yillik profesyonel hizmet verdigini dusundugumuz dukkan bizi hayal kirikligina ugratti ve 10 tl olarak biraktigimiz kapora ucretini de almadik.",2017-02-09,81951,biometrik fotoda hatali cekim oldugundan dolayi tekrar cekmemiz gerek bir saat icinde teslim ederiz dendi yapilan cekim teslim ediliyor kadar uzun suruyor madem foto tesliminden once kapora aliniyor musterilerin telefon numarasi alinmiyor boyle bir sikinti gundeme geldiginde musteriler aranmali cunku vize icin cekilen fotolar hasas kisitli surede teslim edilmesi gerekiyor yillik profesyonel hizmet verdigini dusundugumuz dukkan bizi hayal kirikligina ugratti tl olarak biraktigimiz kapora ucretini almadik
76,m,5.0,service,Çalışan beyefendiler çok ilgiliydiler çıkartıkları fotoğraf kalitesinden ve fiyattan da çok memnun kaldık. Sırf bu sebeplerden gideceğim zaman tekrar burayı tercih ederim,2017-12-10,59997,calsan beyefendiler cok ilgiliydiler ckartklar fotograf kalitesinden fiyattan cok memnun kaldk srf sebeplerden gidecegim zaman tekrar buray tercih ederim
77,m,5.0,art,"İşlerini iyi biliyorlar, teşekkürler",2017-01-02,122683,islerini iyi biliyorlar tesekkurler
78,m,5.0,wedding,sayenizde o kadar rahat sicak bir çekim yaptık ki bir yıldır sürekli fotograflara bakip duruyorum emeğine saglik herkes seni tercih etmeli,2017-05-04,32575,sayenizde kadar rahat sicak bir cekim yaptk bir yldr surekli fotograflara bakip duruyorum emegine saglik herkes seni tercih etmeli
79,m,1.0,service,Düğünümüz de randevu aldık Pazar günü için hem gelmediler ve pişkinlik yapıp hatırlamadıklarını söylediler.rezillik cabası çok yazık nasıl esnaflar anlamak zor,2017-03-16,103947,dugunumuz randevu aldk pazar gunu icin gelmediler piskinlik yapp hatrlamadklarn soylediler rezillik cabas cok yazk nasl esnaflar anlamak zor
80,f,5.0,service,Yine geleceğim,2017-01-07,93924,yine gelecegim
81,f,5.0,service,Sıradan bir fotoğraf stüdyosunda çektireceğiniz vesikalığı beğenmeyip bir başka stüdyoda daha çektireceğinize direkt buraya gidin,2017-07-29,45916,sradan bir fotograf studyosunda cektireceginiz vesikalg begenmeyip bir baska studyoda cektireceginize direkt buraya gidin
82,f,4.0,service,"Gayet ilgili ve güler yüzlü bir ekibi var. Hizmette de sıkıntı görmedim, hizli bir şekilde de işimi çözdüler. Ama kaz ayaklarımı yok etmelerini pek sevmedim :) Bazen doğal kalsın fazla oynamayın dedigimizde sanırım durmalari gereken yeri bilmeliler Onun dışında gayet tavsiye ederim ",2017-03-21,30989,gayet ilgili guler yuzlu bir ekibi var hizmette sknt gormedim hizli bir sekilde isimi cozduler kaz ayaklarm yok etmelerini pek sevmedim bazen dogal kalsn fazla oynamayn dedigimizde sanrm durmalari gereken yeri bilmeliler onun dsnda gayet tavsiye ederim
83,m,5.0,service,Fotograf kalitesine söylenecek hiçbir şey yok. Profesyonelliğin çok çok üzerinde,2017-12-03,78920,fotograf kalitesine soylenecek hicbir sey yok profesyonelligin cok cok uzerinde
84,m,5.0,studio,çalışanlar bu işi biliyor ve çekimler bir harika,2017-10-12,91529,calsanlar isi biliyor cekimler bir harika
85,m,5.0,service,Kuruluş yıldönümü indirimi yapmışlar çok hesaplı oldu,2017-02-01,91877,kurulus yldonumu indirimi yapmslar cok hesapl oldu
86,m,5.0,service,Iyi bir ekip. samımı ortam tesekkur ederız,2017-04-07,84101,iyi bir ekip samm ortam tesekkur ederz
87,m,5.0,engagement,"En güzel kına kimde tabiki bende. Herşey çok güzeldi akıllarda kalıcılık bırakan testi kırma oyunumla dahada güzel oldu Tekrardan elinize , emeğinize sağlık ikinci ailem ",2017-05-04,64547,guzel kna kimde tabiki bende hersey cok guzeldi akllarda kalclk brakan testi krma oyunumla dahada guzel oldu tekrardan elinize emeginize saglk ikinci ailem
88,m,5.0,service,Harika bir fotoğrafçı kesinlikle tavsiye ederin 😉,2017-04-23,81565,harika bir fotografc kesinlikle tavsiye ederin
89,m,1.0,passport,Resimden önce duruşuma karışıyorlar ben sevmiyorum kardeşim,2017-02-23,72528,resimden once durusuma karsyorlar ben sevmiyorum kardesim
92,f,5.0,service,çok mükemmel👍🔥,2017-06-14,57407,cok mukemmel
93,f,5.0,service,Profesyonel fotoğraf hizmeti vermektedir.,2017-11-28,63258,profesyonel fotograf hizmeti vermektedir
94,m,5.0,studio,Güzel resimler çekiyorlar itinayla,2017-11-21,91977,guzel resimler cekiyorlar itinayla
95,m,5.0,service,Profesyonel olmaları ve albüm kaliteleri çok güzel özellikle ilgisinden çok memnun kaldık.,2017-07-22,78178,profesyonel olmalar album kaliteleri cok guzel ozellikle ilgisinden cok memnun kaldk
97,f,5.0,service,Tek geçiyorummm,2017-08-08,78849,tek geciyorummm
98,f,5.0,service,Seri ve kaliteli hizmet.,2017-11-07,32393,seri kaliteli hizmet
99,m,5.0,service,"Çok ilgili bir satıcı, tavsiye ederim",2017-09-11,71775,cok ilgili bir satc tavsiye ederim
100,f,5.0,service,Gayet iyi,2017-09-12,104545,gayet iyi
101,m,5.0,service,Her zaman güler yüzlü personel her zaman kaliteli iş.,2017-12-19,80192,zaman guler yuzlu personel zaman kaliteli is
102,f,3.0,service,Bünyesinde 4-5 arka fon bulunduran ortalama bir fotoğraf stüdyosu,2017-12-05,22878,bunyesinde arka fon bulunduran ortalama bir fotograf studyosu
103,m,5.0,passport,"Ben vesikalık çektirdim, çok doğal çıkmışım, sanatçılık bu işte. Güzel yakalamışlar. Teşekkürler",2017-01-21,72340,ben vesikalk cektirdim cok dogal ckmsm sanatclk iste guzel yakalamslar tesekkurler
104,m,5.0,service,Gerek internet satisinda gerek magazada o kadar yardimsever ve iyi kalpliler ki. Gercekten bazi insanlarin bu magazadan ogrenecek o kadar seyi varki.,2017-06-16,35235,gerek internet satisinda gerek magazada kadar yardimsever iyi kalpliler gercekten bazi insanlarin magazadan ogrenecek kadar seyi varki
105,m,1.0,service,"Zamanında işi bilenlerin, parayı bulduktan sonra işten hiç anlamayan çoluk çocuğa devrettiği stüdyo. Sadece ismi var",2017-08-31,65204,zamannda isi bilenlerin paray bulduktan sonra isten hic anlamayan coluk cocuga devrettigi studyo sadece ismi var
108,f,5.0,service,Gercek profesyoneller,2017-06-02,94253,gercek profesyoneller
109,m,5.0,service,"Arkadaş tavsiyesi üzerine sizlerle tanıştım iyikide tanışmışım , işinizin mesleğinizin hakkını gerçekden veriyorsunuz ,düğün fotoğraflarımız gerçekden harika teşekkürler herşey için.",2017-11-27,89159,arkadas tavsiyesi uzerine sizlerle tanstm iyikide tansmsm isinizin mesleginizin hakkn gercekden veriyorsunuz dugun fotograflarmz gercekden harika tesekkurler hersey icin
110,f,5.0,wedding,Düğün fotğrafçılığında zirve.,2017-04-02,51000,dugun fotgrafclgnda zirve
111,f,5.0,engagement,Nişan ve düğün fotoğraflarımızı çektirdik çok memnun kaldık emeklerinize sağlık,2017-11-20,72484,nisan dugun fotograflarmz cektirdik cok memnun kaldk emeklerinize saglk
112,f,5.0,service,harikasınız,2017-09-04,112462,harikasnz
113,f,5.0,service,Konusunda uzman bir işletme,2017-07-23,46438,konusunda uzman bir isletme
114,m,5.0,service,çok başarılı. Fiyat - performans olarak en iyi stüdyolardan biri.,2017-07-25,51322,cok basarl fiyat performans olarak iyi studyolardan
115,f,3.0,service,Çok bekletiyorlar randevunuz varken araya müşteri alıyorlar,2017-06-19,49491,cok bekletiyorlar randevunuz varken araya musteri alyorlar
116,f,5.0,service,İyi fotoğraf çekimlerin adresi,2017-08-28,90093,iyi fotograf cekimlerin adresi
117,m,5.0,service,"Mekan çok merkezi, hemen belediyenin yanında. Bölgenin eski esnafından. Tavsiye ederim.",2017-11-15,95498,mekan cok merkezi hemen belediyenin yannda bolgenin eski esnafndan tavsiye ederim
118,f,5.0,service,Kendini kanıtlamış bir Fotoğraf Stüdyosu Herkese tavsiye ederim,2017-05-07,44720,kendini kantlams bir fotograf studyosu herkese tavsiye ederim
119,m,5.0,service,Her kullanim icin coook iyi foto cekimi. Cabuk teslim. Guler yuz,2017-06-24,109991,kullanim icin coook iyi foto cekimi cabuk teslim guler yuz
120,m,3.0,service,"Öğrenci fotoğrafları için gittim, standart bir yer",2017-10-30,27621,ogrenci fotograflar icin gittim standart bir yer
121,f,5.0,service,"Selamlar, çalışmalarınız çok güzel başarılarınızın devamını dilerim.",2017-04-07,92232,selamlar calsmalarnz cok guzel basarlarnzn devamn dilerim
122,f,5.0,service,İşinin ehli,2017-08-06,97681,isinin ehli
125,m,5.0,service,Ekip başarılı ve çok yardımcı. Sonuçlar başarılı..Tebrikler,2017-08-29,81923,ekip basarl cok yardmc sonuclar basarl tebrikler
126,m,5.0,service,Kaliteli ve güvenilir isletme calisanlari güler yüzlü.,2017-12-24,61371,kaliteli guvenilir isletme calisanlari guler yuzlu
127,f,5.0,service,Hem profesyonel hem de eğlenerek fotoğraf çektirmek istiyorsanız gidebileceğiniz tek adres.,2017-12-19,117468,profesyonel eglenerek fotograf cektirmek istiyorsanz gidebileceginiz tek adres
128,m,5.0,facility,"Yeri çok güzel çarşı içinde olduğu için hem alışverişimi yapıyorum, bitene kadar fotoğrafım da çıkmış oluyor",2017-02-12,80983,yeri cok guzel car icinde oldugu icin alsverisimi yapyorum bitene kadar fotografm ckms oluyor
130,f,5.0,service,Kaliteli hizmet,2017-01-08,93924,kaliteli hizmet
131,m,5.0,service,"Ulaşımı kolay Bahçelievler anacadde üzerinde, önünde birkaç arabalık otopark var. Ve Çocukların fotoğraflarını aldım, çok kaliteli iş çıkartmışlar.😊",2017-11-13,93082,ulasm kolay bahcelievler anacadde uzerinde onunde birkac arabalk otopark var cocuklarn fotograflarn aldm cok kaliteli is ckartmslar
132,f,2.0,price,4 tane 25 lira çok pahalı.Hadi çekinsem neyse bende olan resmi çoğalttılar sadece,2017-10-28,74559,tane lira cok pahal hadi cekinsem neyse bende olan resmi cogalttlar sadece
133,m,5.0,service,Mukemmel biri her konuda her iyiligi yapiyor montajda inanilmaz profesyonel islerinizi burada halledin Efsane.,2017-10-27,110066,mukemmel konuda iyiligi yapiyor montajda inanilmaz profesyonel islerinizi burada halledin efsane
135,m,5.0,service,Çok kaliteli resimler,2017-03-06,94803,cok kaliteli resimler
136,f,5.0,service,Iyi esnaf.fotograf işleriniz uygun fiyata hızlı ve itinalı yapılır.,2017-07-02,57250,iyi esnaf fotograf isleriniz uygun fiyata hzl itinal yaplr
139,m,5.0,service,"Profesyonel, güler yüzlü, rahat fotoğraf çekiminin tek adresi😊 Şiddetle tavsiye ediyorum. 😁☺️💪",2017-11-20,43455,profesyonel guler yuzlu rahat fotograf cekiminin tek adresi siddetle tavsiye ediyorum
